Comune,Cratere Centro Italia 2016,Ricavi delle vendite migl EUR Ultimo anno disp.,Dipendenti Ultimo anno disp.,Stato giuridico,ateco2,ComuneOP,costituzione,ubilancio
Fabriano,1.0,0,0,In liquidazione,35,Fabriano,2011,2020
Fabriano,1.0,0,0,In liquidazione,27,Fabriano,2011,2015
Fabriano,1.0,0,0,Cessata (In liquidazione),35,Fabriano,2011,2017
Fabriano,1.0,0,0,In liquidazione,27,Fabriano,2011,2014
Fabriano,1.0,0,0,Cessata (In liquidazione),70,Fabriano,2010,2020
Fabriano,1.0,0,0,Cessata (In liquidazione),47,Fabriano,2010,2017
Fabriano,1.0,0,0,Cessata (In liquidazione),41,Fabriano,2010,2016
Fabriano,1.0,0,0,Fallita,41,Fabriano,2010,2015
Fabriano,1.0,0,0,Cessata (Fusione),68,Fabriano,2010,2016
Fabriano,1.0,0,0,Cessata (In liquidazione),47,Fabriano,2010,2020
Fabriano,1.0,0,0,Cessata (In liquidazione),68,Fabriano,1986,2012
Fabriano,1.0,0,0,Cessata (In liquidazione),46,Fabriano,1993,2019
Fabriano,1.0,0,0,Cessata (Chiusura per fallimento),82,Fabriano,2009,2016
Fabriano,1.0,0,0,In liquidazione,46,Fabriano,2004,2020
Fabriano,1.0,0,0,In liquidazione,47,Fabriano,2009,2012
Fabriano,1.0,0,0,In liquidazione,66,Fabriano,2009,2020
Fabriano,1.0,0,1,Cessata (In liquidazione),46,Fabriano,2009,2014
Fabriano,1.0,0,0,Cessata (In liquidazione),70,Fabriano,2008,2020
Fabriano,1.0,0,0,Cessata,68,Fabriano,2008,2009
Fabriano,1.0,0,0,Cessata (In liquidazione),68,Fabriano,2008,2015
Fabriano,1.0,0,0,Fallita,22,Fabriano,2008,2015
Fabriano,1.0,0,0,Cessata,68,Fabriano,2008,2008
Fabriano,1.0,0,0,Cessata (In liquidazione),70,Fabriano,2007,2012
Fabriano,1.0,0,0,In liquidazione,63,Fabriano,2007,2011
Fabriano,1.0,0,0,Attiva (Stato di insolvenza),47,Fabriano,2007,2016
Fabriano,1.0,0,0,Cessata (In liquidazione),90,Fabriano,2007,2017
Fabriano,1.0,0,0,Cessata (In liquidazione),81,Fabriano,2007,2011
Fabriano,1.0,0,0,Cessata,41,Fabriano,2006,2007
Fabriano,1.0,0,0,Cessata (In liquidazione),42,Fabriano,2006,2019
Fabriano,1.0,0,0,In liquidazione,27,Fabriano,2006,2013
Fabriano,1.0,0,0,In liquidazione,68,Fabriano,2006,2008
