Comune,Cratere Centro Italia 2016,media_prima,media_dopo,varPhones,Variaz,Variaz_init,Variaz_end
Bolognola,1.0,813.2820092556884,708.2489037070524,-0.12914721382409752,-26.81556507193027,-3.461072459769247,-34.14934681369647
Bolsena,0.0,7508.7146355572695,6942.955029385172,-0.07534706452858948,-4.257354959466862,-4.157473818324101,-4.288719652394443
Bomarzo,0.0,2732.3272367913614,2990.5392179023506,0.09450258286566503,-8.053455088714784,2.4496151257653453,-11.35163098363162
Borbona,1.0,1054.4168916313151,1080.5498869801086,0.024784310225116374,0.2461524762071062,-18.54802376833885,6.147902896681485
Borgo Pace,0.0,1508.9966640956422,1720.4264918625677,0.1401128529953627,-6.429822281556398,2.7747326615181067,-9.320238190119245
Borgo Velino,1.0,1447.308629001157,1495.2308544303796,0.03311126906104028,-12.061650732662937,-9.48686798365653,-12.870184449376811
Borgorose,0.0,3139.6455264172773,3534.31196880651,0.12570414050518486,10.245548155781336,0.0974595081199825,13.432252678717118
Bracciano,0.0,2143.7192537601236,2127.085036166365,-0.007759513082033337,17.264951077098697,15.4582191555767,17.832301342350203
Brittoli,0.0,590.9254242190513,662.4465528933092,0.12103241076279309,-8.57261675350753,-9.562194916796312,-8.261869250382594
Bucchianico,0.0,7476.065927497108,8520.351401446655,0.13968382356135275,-7.765460346936893,-0.2761752066449082,-10.117246940328966
Bussi sul Tirino,0.0,1316.100645969919,1385.0777576853527,0.05241021036396501,3.669098031936481,1.464202251472492,4.361479779885232
Cagli,0.0,19060.8744504435,20220.872434448465,0.06085754286986415,-9.11920050376034,-3.408022096373752,-10.912625718498283
Cagnano Amiterno,0.0,1953.923023524875,1920.9108160036164,-0.016895347014082712,-9.060333199804475,-8.69504830861971,-9.175040023455164
Calascio,0.0,818.0031334361743,797.4833408679928,-0.025085224896369662,-18.46755624319303,-12.906254251594456,-20.21391724035708
Calcata,0.0,791.5501639028153,869.2817359855335,0.09820170044492839,-8.0189589616405,3.0074255651614603,-11.481466105908142
Caldarola,1.0,2898.441399922869,3264.1790235081376,0.12618423943123402,-1.757896867991568,5.310615753691674,-3.977552403532986
Calvi dell'Umbria,0.0,1984.9796085615117,2659.7062160940327,0.3399161405096178,27.598853705072944,-2.740149387135428,37.12591261557856
