Comune,Cratere Centro Italia 2016,media_prima,media_dopo,varPhones,Variaz
Camerino,1.0,12643.909998071731,11629.653560126582,-0.08021699285267204,-13.606103396724723
Campagnano di Roma,0.0,369.47241612032394,574.7120140144666,0.5554936957115182,54.91804726390716
Campello sul Clitunno,0.0,4483.638256845353,5982.716466998191,0.33434414738167934,17.49313715312344
Campli,1.0,4985.759506363286,6186.640076853526,0.24086211317604975,11.433487128552793
Campofilone,0.0,1657.0418627072888,1666.5183431283906,0.005718914310118283,3.819343328791346
Camporotondo di Fiastrone,1.0,618.9239201696877,702.1705470162749,0.13450219668964136,4.720391561322258
Campotosto,1.0,595.4308330119552,337.05084764918627,-0.4339378665625485,25.658091845049974
Canale Monterano,0.0,262.30628615503275,307.1335782097649,0.170896750938853,5.723824633939809
Canepina,0.0,3499.39619166988,3895.0573236889695,0.11306554341030008,1.95490464130794
Cannara,0.0,7066.912986887774,6761.72325949367,-0.04318572026574615,-8.300031864794684
Canosa Sannita,0.0,1022.2172772849981,1170.2736211573238,0.14483842834819058,34.028010102046146
Cantalice,1.0,2746.82267643656,2942.342461573237,0.07118034477213647,-1.3355768581449488
Cantalupo in Sabina,0.0,1068.6179714616273,1177.1328322784811,0.10154691734074998,7.066057793469216
Cantiano,0.0,4075.29409949865,4129.725339059674,0.013356395448299132,0.5335995902750315
Canzano,0.0,1253.5508291554183,1439.170931283906,0.14807544920499904,9.136995754420672
Capena,0.0,894.7634303895103,904.11648960217,0.01045310849213862,2.7883636519818453
Capestrano,0.0,922.5135750096414,1077.965133363472,0.1685086946847432,12.899549576825
Capitignano,1.0,432.66428846895485,450.6529611211573,0.04157651355016608,132.94402968593815
Capodimonte,0.0,2688.6892788276127,2918.3045886075947,0.08540046318781187,6.197975863781632
Capolona,0.0,5270.904396451986,6133.959120705244,0.16373940017470384,10.313195708502356
Caporciano,0.0,320.4604512148091,389.2709538878843,0.21472385254475768,36.04245965678865
Cappelle sul Tavo,0.0,3545.3037697647515,3805.665800180832,0.07343856755985588,-2.416876181627992
Capranica,0.0,6382.168463170073,7060.648982820977,0.10630877632990239,4.663468315998053
Caprarola,0.0,4368.249469726185,4646.170931283906,0.06362307452535242,-0.9299477368430922
Caprese Michelangelo,0.0,3820.9864153490166,4051.345626130199,0.06028789054465688,-2.297647511612483
Caramanico Terme,0.0,2109.058629001157,2162.671620705244,0.02542034202694405,1.456935263708369
Carapelle Calvisio,0.0,220.2197551099113,227.7811369801085,0.03433562019185489,0.497573080818927
Carassai,0.0,1826.7421808715771,1616.0985420433997,-0.1153110937240607,-12.31312925012586
Carbognano,0.0,1601.6976282298497,1692.259245027125,0.056541019479039493,-14.009195827283072
Carpegna,0.0,661.9285094485152,649.6074819168174,-0.018613834206904132,-2.5271388708006013
