Comune,media_prima,Comune,media_dopo,var
Mondavio,16268.515887658876,Mondavio,17638.635953996985,8.421911843707072
Monte Porzio,13376.864634583848,Monte Porzio,15234.932164404221,13.89015722725206
Sant'Ippolito,9104.07207103321,Sant'Ippolito,8919.699698340874,-2.025163808610009
Barchi,4492.453054530545,Barchi,4588.574641779789,2.1396236328459195
Sant'Angelo in Vado,16287.376742517425,Sant'Angelo in Vado,17795.997435897436,9.262514874122292
Borgo Pace,4771.063653136532,Borgo Pace,5457.233182503771,14.381898445562477
Urbania,28266.766143911445,Urbania,31375.56193438914,10.998059610534256
Fermignano,25606.196289462896,Fermignano,31125.769174208144,21.555614205053118
Corinaldo,35691.07742671177,Corinaldo,36521.70586349924,2.3272719589177226
Caprese Michelangelo,12214.652162771628,Caprese Michelangelo,13108.477526395172,7.317648932712023
Chitignano,4102.807490262403,Chitignano,3372.962895927602,-17.788906646656297
Mercatello sul Metauro,6239.24214585896,Mercatello sul Metauro,8162.74334464555,30.82908394672957
Acqualagna,20130.154827798277,Acqualagna,22534.58908371041,11.94443995329725
Montemarciano,50766.37961254612,Montemarciano,54649.30013197587,7.648606319900233
Castel Focognano,7053.7799046740465,Castel Focognano,8602.541723227752,21.956480631433507
Fratte Rosa,4429.703695161952,Fratte Rosa,4916.542665912519,10.99032811793448
San Lorenzo in Campo,15898.927134583848,San Lorenzo in Campo,17033.701112368024,7.137424860044677
Ostra,31438.448467609676,Ostra,34326.48178733032,9.186309950047686
Sansepolcro,82730.7852603526,Sansepolcro,93912.69044117647,13.516014801061754
Falconara Marittima,111578.08572929478,Falconara Marittima,112351.08029788839,0.6927835009367449
Subbiano,49092.42140733907,Subbiano,56152.688668929106,14.3815828577862
Cagli,61030.91063191882,Cagli,64773.43951734539,6.132185882000007
Pergola,28016.581578003275,Pergola,29268.297567873302,4.467768440575167
Castelleone di Suasa,6606.111341738417,Castelleone di Suasa,7006.324698340875,6.058229053359269
Morro d'Alba,7943.9346299713,Morro d'Alba,7540.126206636501,-5.0832294340803
Chiaravalle,48072.76281262812,Chiaravalle,49590.33075037707,3.1568144807152714
Monte San Vito,22377.0497898729,Monte San Vito,25802.904468325793,15.309679830999517
Ostra Vetere,19258.017361111113,Ostra Vetere,19596.09981146305,1.7555413104707582
Piobbico,12703.632866953669,Piobbico,13721.900980392158,8.015566288028836
Ancona,344696.1270372079,Ancona,366886.1264140271,6.437554018245166
Capolona,17286.87425686757,Capolona,19676.717760180996,13.8246132169557
Anghiari,45086.314191266916,Anghiari,48240.34342006033,6.995535752630539
Città di Castello,183150.6934194342,Città di Castello,307861.88565233786,68.09212124974162
Apecchio,12184.57856703567,Apecchio,13540.990950226244,11.13220597436361
San Giustino,60415.558989339894,San Giustino,78264.34523001508,29.543360252322653
Belvedere Ostrense,10285.287054120541,Belvedere Ostrense,10772.824264705883,4.74014199137031
Barbara,4947.389734522345,Barbara,5497.697266214178,11.123189423542826
Camerata Picena,13261.453477347271,Camerata Picena,15820.693740573155,19.298339111904166
Arcevia,27701.625717507173,Arcevia,26570.31327300151,-4.08392076350481
San Marcello,15413.960075850759,San Marcello,14265.990799396683,-7.447594718067381
Jesi,186034.6312525625,Jesi,202530.52805429863,8.867110758179814
Monsano,13769.651778392783,Monsano,16392.90056561086,19.050945001633636
Montecarotto,7763.977052583025,Montecarotto,8646.437443438914,11.366087056662531
Agugliano,14131.39838304633,Agugliano,15423.434634238312,9.143017670084653
