Comune,n_imprese,tot_ricavi,tot_dipendenti,failed,failed_ricavi,failed_dipendenti
Loreto Aprutino,70,88906.0,717,0.37142857142857144,0.2873934267653477,0.39748953974895396
Loro Piceno,21,12098.0,116,0.3333333333333333,0.06348156720119028,0.16379310344827586
Lubriano,6,383.0,4,0.6666666666666666,0.6814621409921671,1.0
Lucoli,6,858.0,13,0.6666666666666666,0.06876456876456877,0.07692307692307693
Lugnano in Teverina,16,4502.0,66,0.4375,0.18991559306974679,0.12121212121212122
Lunano,44,228813.0,784,0.25,0.01484618443882122,0.02806122448979592
Macerata,826,954795.0,5038,0.3789346246973366,0.14470750265763854,0.1976974990075427
Magione,141,1122245.0,2599,0.3049645390070922,0.009739406279377498,0.04309349749903809
Magliano Sabina,55,20115.0,157,0.41818181818181815,0.13447675863783246,0.22929936305732485
Magliano de' Marsi,33,16309.0,129,0.3939393939393939,0.24875835428291126,0.4573643410852713
Magliano di Tenna,25,56351.0,190,0.52,0.09882699508438182,0.2894736842105263
Maiolati Spontini,53,137417.0,667,0.33962264150943394,0.4374131293799166,0.3328335832083958
Maltignano,42,130744.0,372,0.2857142857142857,0.013583797344428808,0.053763440860215055
Manoppello,61,71262.0,490,0.32786885245901637,0.08283517162021835,0.07346938775510205
Marsciano,220,321180.0,1919,0.4090909090909091,0.09133196338501774,0.14017717561229806
Marta,18,5901.0,45,0.2777777777777778,0.03016437891882732,0.08888888888888889
Martinsicuro,283,240383.0,1466,0.36042402826855124,0.1809653760873273,0.3130968622100955
Massa Fermana,16,13017.0,116,0.375,0.19105784743028348,0.1810344827586207
Massa Martana,42,95551.0,629,0.38095238095238093,0.06315998785988634,0.06995230524642289
Massa d'Albe,11,27827.0,126,0.45454545454545453,0.018471268911488842,0.023809523809523808
Massignano,10,29480.0,39,0.3,0.0030189959294436904,0.1282051282051282
Matelica,108,116943.0,1207,0.24074074074074073,0.03180181797969951,0.03231151615575808
Mercatello sul Metauro,19,27358.0,188,0.21052631578947367,0.05417062650778566,0.13829787234042554
Mergo,6,17149.0,77,0.3333333333333333,0.01323692343576885,0.03896103896103896
Micigliano,3,0.0,0,0.6666666666666666,0.0,0.0
Miglianico,59,69079.0,479,0.4406779661016949,0.0701805179577006,0.17954070981210857
Mogliano,51,43521.0,352,0.2549019607843137,0.02148388134463822,0.05113636363636364
Mompeo,2,29.0,1,1.0,1.0,1.0
Mondavio,35,22086.0,173,0.34285714285714286,0.4410486280901929,0.4046242774566474
Mondolfo,139,169057.0,779,0.30935251798561153,0.0925959883352952,0.1540436456996149
Monsampietro Morico,3,8125.0,49,0.0,0.0,0.0
Monsampolo del Tronto,82,1162910.0,823,0.2926829268292683,0.026474103756954536,0.22721749696233293
Monsano,93,126396.0,897,0.16129032258064516,0.07770024367859743,0.1705685618729097
Montalto delle Marche,16,11649.0,77,0.125,0.01253326465791055,0.06493506493506493
Montappone,27,32377.0,157,0.2222222222222222,0.007011149890354264,0.012738853503184714
Montasola,4,1400.0,42,0.75,0.7628571428571429,0.7857142857142857
Monte Castello di Vibio,15,1111.0,19,0.3333333333333333,0.30063006300630063,0.21052631578947367
Monte Giberto,10,18793.0,126,0.3,0.008034906614164849,0.03968253968253968
Monte Porzio,53,117919.0,388,0.2641509433962264,0.02740864491727372,0.1056701030927835
Monte Rinaldo,2,1045.0,11,0.0,0.0,0.0
Monte Roberto,61,147496.0,714,0.22950819672131148,0.23743694744264252,0.08263305322128851
Monte Romano,2,230.0,1,0.5,0.0,0.0
Monte San Giovanni in Sabina,5,656.0,12,0.6,0.7759146341463414,0.5833333333333334
Monte San Giusto,152,133125.0,1103,0.39473684210526316,0.34895023474178405,0.34632819582955576
Monte San Martino,10,7079.0,62,0.3,0.015962706596976975,0.25806451612903225
Monte San Pietrangeli,23,156783.0,583,0.34782608695652173,0.02301269908089525,0.05317324185248713
Monte San Vito,62,262709.0,928,0.3709677419354839,0.18863076636125903,0.33405172413793105
Monte Santa Maria Tiberina,6,4095.0,71,0.3333333333333333,0.4617826617826618,0.6338028169014085
Monte Urano,177,215944.0,1256,0.2994350282485876,0.08469788463675768,0.17436305732484075
Monte Vidon Combatte,2,3100.0,4,0.0,0.0,0.0
Monte Vidon Corrado,6,7927.0,70,0.3333333333333333,0.34199571086161223,0.2
Montebello di Bertona,12,2423.0,45,0.5833333333333334,0.08955839867932315,0.2222222222222222
Montebuono,4,3899.0,66,0.75,0.3734290843806104,0.16666666666666666
Montecarotto,12,54168.0,232,0.25,0.010338207059518534,0.034482758620689655
Montecassiano,113,237273.0,922,0.34513274336283184,0.38562331154408636,0.16377440347071584
Montecastrilli,48,50898.0,276,0.3333333333333333,0.02404809619238477,0.04710144927536232
Montecchio,14,15377.0,80,0.21428571428571427,0.017948884697925473,0.0125
Montecosaro,109,182516.0,1020,0.3119266055045872,0.06414232176905038,0.11568627450980393
Montedinove,6,1359.0,10,0.16666666666666666,0.0,0.0
Montefalco,41,22492.0,223,0.3902439024390244,0.24066334696781078,0.37668161434977576
Montefalcone Appennino,6,1122.0,14,0.3333333333333333,0.4037433155080214,0.42857142857142855
Montefano,41,63784.0,465,0.21951219512195122,0.23546657468957732,0.23870967741935484
Montefelcino,24,24593.0,228,0.375,0.18261293864107672,0.2149122807017544
Montefiascone,90,63658.0,589,0.2777777777777778,0.13794024317446354,0.19864176570458403
Montefino,11,16145.0,128,0.36363636363636365,0.11303809228863425,0.078125
Montefiore dell'Aso,29,232814.0,694,0.2413793103448276,0.005772848711847226,0.008645533141210375
Montefortino,7,3758.0,38,0.2857142857142857,0.006386375731772219,0.0
Montefranco,9,1903.0,7,0.4444444444444444,0.08723068838675775,0.42857142857142855
Montegabbione,4,1318.0,9,0.5,0.09180576631259484,0.4444444444444444
Montegallo,3,362.0,5,0.0,0.0,0.0
Montegiorgio,104,218186.0,1134,0.2980769230769231,0.10351259934184595,0.10405643738977072
Montegranaro,320,411916.0,2462,0.290625,0.09322046242437779,0.1397238017871649
Monteleone Sabino,5,341.0,6,0.6,0.9237536656891495,0.6666666666666666
Monteleone d'Orvieto,14,651.0,13,0.5,0.2903225806451613,0.6153846153846154
Monteleone di Fermo,1,0.0,0,1.0,0.0,0.0
Monteleone di Spoleto,4,726.0,7,0.25,0.015151515151515152,0.0
Montelparo,5,423.0,14,0.6,0.7186761229314421,0.7142857142857143
Montelupone,43,136679.0,896,0.2558139534883721,0.2336715954901631,0.25892857142857145
Montemarciano,63,52067.0,367,0.36507936507936506,0.1725277046881902,0.23978201634877383
Montemonaco,9,791.0,25,0.3333333333333333,0.415929203539823,0.6
Montenero Sabino,1,78.0,0,1.0,1.0,0.0
Monteprandone,250,242679.0,1549,0.308,0.09618879260257376,0.11878631375080698
Montereale,20,4472.0,53,0.35,0.02370304114490161,0.018867924528301886
Monterosi,36,10464.0,102,0.5277777777777778,0.13704128440366972,0.11764705882352941
Monterubbiano,29,12960.0,69,0.3793103448275862,0.11195987654320988,0.2318840579710145
Montesilvano,677,426304.0,3218,0.413589364844904,0.1508876294850623,0.2858918582970789
Montone,18,73951.0,579,0.16666666666666666,0.0005273762356154751,0.0034542314335060447
Montopoli di Sabina,36,7648.0,94,0.4722222222222222,0.23077928870292888,0.43617021276595747
Montorio al Vomano,130,215048.0,1044,0.23846153846153847,0.07096090175216696,0.07950191570881227
Montottone,2,1356.0,13,0.5,0.6128318584070797,0.5384615384615384
Moresco,10,7534.0,61,0.1,0.027475444650915847,0.03278688524590164
Morro Reatino,3,238.0,3,0.0,0.0,0.0
Morro d'Alba,15,36743.0,273,0.4666666666666667,0.04006205263587622,0.08791208791208792
Morro d'Oro,35,92440.0,592,0.22857142857142856,0.01008221549112938,0.010135135135135136
Morrovalle,152,230624.0,1503,0.3157894736842105,0.07226047592618287,0.08383233532934131
Mosciano Sant'Angelo,232,752297.0,3413,0.33189655172413796,0.1802014364007832,0.10313507178435394
Moscufo,36,72228.0,587,0.3888888888888889,0.026000996843329457,0.3594548551959114
Muccia,22,11783.0,99,0.6818181818181818,0.16540779088517354,0.31313131313131315
Narni,279,383474.0,2510,0.3835125448028674,0.040610315171302355,0.09402390438247012
Navelli,6,1977.0,28,0.3333333333333333,0.03237228123419322,0.10714285714285714
Nepi,94,106627.0,554,0.46808510638297873,0.09416001575585921,0.16064981949458484
Nereto,84,77045.0,520,0.38095238095238093,0.08064118372379778,0.16923076923076924
Nocciano,14,8876.0,73,0.21428571428571427,0.009125732311852186,0.0273972602739726
Nocera Umbra,39,47566.0,223,0.358974358974359,0.02388260522221755,0.07174887892376682
Norcia,88,59511.0,492,0.36363636363636365,0.14847675219707282,0.17073170731707318
Notaresco,93,126252.0,702,0.40860215053763443,0.23499825745334726,0.2535612535612536
Numana,68,80368.0,622,0.2647058823529412,0.08999850686840534,0.1977491961414791
Ocre,9,2630.0,36,0.5555555555555556,0.03193916349809886,0.1388888888888889
Ofena,3,1377.0,59,0.3333333333333333,0.7647058823529411,1.0
Offagna,17,29172.0,185,0.29411764705882354,0.04795694501576855,0.08108108108108109
Offida,106,152664.0,617,0.1792452830188679,0.015707697951055914,0.05348460291734198
Onano,5,1325.0,3,0.8,0.07698113207547169,1.0
Oriolo Romano,29,35461.0,147,0.5517241379310345,0.09384958123008376,0.2925170068027211
Orsogna,45,52726.0,382,0.4,0.017031445586617608,0.10732984293193717
Orte,92,68644.0,305,0.391304347826087,0.10392751005186178,0.26557377049180325
Ortezzano,12,41242.0,225,0.3333333333333333,4.849425343096843e-05,0.0
Ortona,275,731801.0,2396,0.4109090909090909,0.058468080803387806,0.2541736227045075
Orvieto,307,404352.0,2604,0.39087947882736157,0.10491354067742957,0.12864823348694315
Orvinio,3,332.0,2,0.6666666666666666,0.9216867469879518,1.0
Osimo,671,1243987.0,5169,0.2563338301043219,0.08572919170377183,0.12749081060166376
Ostra,75,134351.0,831,0.3333333333333333,0.11410410045329027,0.10589651022864019
Ostra Vetere,59,83483.0,482,0.2542372881355932,0.04422457266748919,0.10580912863070539
Otricoli,10,2920.0,45,0.5,0.07979452054794521,0.15555555555555556
Ovindoli,26,5066.0,94,0.5384615384615384,0.3416896960126332,0.30851063829787234
Paciano,12,2449.0,34,0.4166666666666667,0.30706410779910165,0.5294117647058824
