Comune,Distance_from_epicenter
Pennapiedimonte,97.48413294495636
Montereale,18.428097720497842
Casalincontrada,84.28992118286092
Casacanditella,92.75030923956261
Cagnano Amiterno,27.363735847254492
Calascio,52.00186101477384
Caporciano,61.13311943000534
Carapelle Calvisio,55.54427450861332
Collepietro,69.32298196816649
Corfinio,80.10560144138007
Tortoreto,55.52571250654759
Torrevecchia Teatina,87.68773401160772
Acquapendente,100.88334894324386
Barbarano Romano,104.6495603160808
Capodimonte,104.09991935564753
Bagnoregio,86.44224071242147
Bassano Romano,101.17693946229873
Civitella San Paolo,78.48636624528828
Monte San Giovanni in Sabina,57.19872019723171
Morro Reatino,36.90014801370108
Nespolo,61.71146388227667
Contigliano,50.108619986416386
Cottanello,53.5069551305882
Torricella in Sabina,56.0565469732125
Tarano,66.54892010597253
Toffia,67.4293047366911
Rignano Flaminio,83.80214265075148
Gallese,74.39606756453126
Montorio Romano,72.01166367170966
Marcetelli,55.77818789413433
Micigliano,31.35441611689973
Mompeo,62.20009987996617
Montasola,57.78245878382945
Vitorchiano,84.9259468950752
Poggio San Lorenzo,59.299010882931654
Capena,83.94172112995561
Onano,107.74915314911341
Monte Romano,112.31110625825545
Tarquinia,125.85905273700494
Valentano,110.80691392718424
Tuscania,114.69544618016799
Castiglione in Teverina,78.34953991579087
Corchiano,78.73901309183678
Marta,101.99225348629115
Vallerano,84.72145964814293
Vasanello,75.85183272653734
Nepi,90.18658483046505
Celleno,85.31861442849801
Civitella d'Agliano,77.77532316538678
Montefiascone,94.33894678457794
Lubriano,84.24184707221883
Monterosi,95.18774392386472
Castel Sant'Elia,85.11560054097535
Soriano nel Cimino,81.72958104721904
Sutri,95.28911947090346
Fabrica di Roma,83.01176711541514
Faleria,82.57154227686647
Gradoli,103.22761224250775
Graffignano,77.28925104454672
Grotte di Castro,103.33286485144723
Ronciglione,92.61564017238796
Villa San Giovanni in Tuscia,104.69921240351097
San Lorenzo Nuovo,99.28171547317521
Latera,108.76972015474267
Piansano,108.96650480696063
Proceno,107.77947839215697
Oriolo Romano,106.27063292213026
Orte,70.8845610199661
Civita Castellana,77.8885204512762
Montebuono,64.13502793158857
Monteleone Sabino,60.69808566694498
Montenero Sabino,57.555831124765824
Canepina,86.94779809169187
Cantalice,35.50863935456291
Cantalupo in Sabina,65.94819399884476
Orvinio,68.00786611224991
Paganico Sabino,60.4782123301497
Borgo Velino,36.055870315032635
Montelibretti,77.60407869991688
Poggio Bustone,35.985624198638035
Viterbo,94.96577246508228
Blera,110.86021441223147
Poggio Catino,64.041854514137
Magliano Sabina,70.42392054266554
Nerola,70.80877794350772
Tolfa,119.91059884198877
Morlupo,86.43852129899373
Nazzano,74.56267262077252
Magliano Romano,89.08912845529076
Fiano Romano,80.13257663631761
Filacciano,72.15482446225194
Bomarzo,77.97726425311986
Calcata,86.30295788247614
Sant'Oreste,78.02363990481712
Arlena di Castro,113.09189850508191
Bolsena,95.21914990397964
Campagnano di Roma,95.42525979011808
Torrita Tiberina,72.68359782980332
Antrodoco,34.36715698009923
Leonessa,24.46023088671924
Longone Sabino,49.819848871785304
Trevignano Romano,100.3764789594669
Poggio Moiano,62.83247132680202
Manziana,112.08281273712895
Amatrice,8.649987260623153
Pescorocchiano,54.1697564087284
Capranica,98.52862155900627
Bassano in Teverina,75.44943320844567
Caprarola,90.72902570251631
Carbognano,85.9926442438271
Mazzano Romano,88.97427282826747
Vignanello,80.93096663770154
Ascrea,57.206273061792785
Belmonte in Sabina,50.852580517637634
Poggio Nativo,65.436505767503
Allumiere,123.62852884562156
Accumoli,0.0
Petrella Salto,45.580420661460145
Borbona,24.169765087342526
Vetralla,104.26600873689094
Montopoli di Sabina,70.56350875743532
Canale Monterano,112.34137810188085
Bracciano,110.34495712998843
Fiamignano,44.5519811598357
Vacone,59.0069596053101
Varco Sabino,53.350615046939794
Borgorose,55.987786016650254
Pozzaglia Sabina,64.02172552622011
Cittareale,12.988490120636989
Collalto Sabino,62.180129747234865
Colle di Tora,60.71157661597432
Poggio Mirteto,67.18063328174915
Rieti,45.59206560078383
Rivodutri,36.107196346845704
Fara in Sabina,72.24978380287058
