Comune,Cratere Centro Italia 2016,Variaz
San Giovanni Teatino,0,2.7794548253149203
San Giustino,0,15.886572024917939
San Lorenzo Nuovo,0,-28.672554895244396
San Lorenzo in Campo,0,-1.293465709207875
San Marcello,0,-11.394208322014702
San Martino sulla Marrucina,0,9.020648905312138
San Paolo di Jesi,0,-14.541645025070613
San Pio delle Camere,0,25.23573047751963
San Severino Marche,1,-5.233844628644384
San Valentino in Abruzzo Citeriore,0,-0.23088296350496826
San Venanzo,0,-7.296284556216611
San Vito Chietino,0,-13.404809002973492
Sansepolcro,0,-4.060117815420772
Sant'Anatolia di Narco,1,-14.91239427918179
Sant'Angelo in Pontano,1,-23.96199133622668
Sant'Angelo in Vado,0,-3.427863916106564
Sant'Egidio alla Vibrata,0,24.92044319162226
Sant'Elpidio a Mare,0,2.4096987021905245
Sant'Eusanio Forconese,0,-2.5523447265160244
Sant'Eusanio del Sangro,0,-11.897723334077432
Sant'Ippolito,0,-7.874194811776339
Sant'Omero,0,-3.1003011048059568
Sant'Oreste,0,-6.444301422744661
Santa Maria Nuova,0,-2.3401085328308313
Santa Vittoria in Matenano,1,-6.004851150422228
Sante Marie,0,96.81589540445754
Santo Stefano di Sessanio,0,-6.41419438338134
Sarnano,1,-7.790995296141352
Sarteano,0,2.8512306866887753
Sassocorvaro,0,-18.578011212884725
Sassoferrato,0,-6.227969033389598
Scafa,0,13.625531508655003
Scandriglia,0,-10.09073880683097
Scheggia e Pascelupo,0,-2.759714891408848
Scheggino,1,-15.09478141460676
Scoppito,0,-0.5328512551377818
Secinaro,0,-11.577763475976697
Sefro,1,-8.667515871986046
Selci,0,1.2850158747518206
Sellano,1,102.59638735659766
Senigallia,0,-6.127985430101169
Serra San Quirico,0,-6.988925196882642
Serra Sant'Abbondio,0,-7.077644913264004
Serra de' Conti,0,-3.522291193930291
Serramonacesca,0,-6.347213512069643
Serrapetrona,1,-7.06415147526978
Serravalle di Chienti,1,-6.754452902420213
Serrungarina,0,-4.854448438295766
Servigliano,1,-14.917256613742481
Sestino,0,-12.45644901012517
Sigillo,0,-34.897039545873184
Silvi,0,-13.567788878588274
Sinalunga,0,-10.512206674066155
Sirolo,0,-11.395308422053803
Smerillo,1,-35.01340531229478
Soriano nel Cimino,0,11.995588246255664
Spello,0,-0.9946944446749327
Spinetoli,0,14.208254438874512
Spoleto,1,-15.083828013473005
Spoltore,0,3.070665730208561
Staffolo,0,-5.454478783723485
Stimigliano,0,-6.384504140537363
Stroncone,0,3.200665944795726
Subbiano,0,-0.9162046538825871
Sutri,0,-4.754041383246896
Tarano,0,-8.193944102135777
Tarquinia,0,23.622937124304723
Teramo,1,-0.5366760074519438
Terni,0,-2.9819032550394913
Tione degli Abruzzi,0,-19.97192058084043
Tocco da Casauria,0,-4.115583005623124
Todi,0,-1.683623437905478
Toffia,0,42.75095522394393
Tolentino,1,-4.0804226002171395
Tolfa,0,-1.2077110726402633
Tollo,0,-3.4831179007627036
Torano Nuovo,0,-10.42338092883254
Torgiano,0,-6.230293469038676
Tornimparte,0,-10.99034620739406
Torre San Patrizio,0,-4.161647242468659
Torre de' Passeri,0,5.798556362940273
Torrevecchia Teatina,0,-3.2415563925105975
Torri in Sabina,0,13.32913300716446
Torricella Sicura,1,-6.400760293050778
Torricella in Sabina,0,-6.26824904173774
Torrita Tiberina,0,9.00885768819275
Torrita di Siena,0,-11.895166059419914
Tortoreto,0,-23.026954580598996
Tossicia,1,-16.614171144428934
Trecastelli,0,-4.20964078392312
Treia,1,-20.390888156891602
Trevi,0,-11.610868803370632
Trevignano Romano,0,31.893273603286843
Tuoro sul Trasimeno,0,-13.390587652663505
Turrivalignani,0,64.33094588783386
Tuscania,0,13.967252464593068
Umbertide,0,-2.8532096042917976
Urbania,0,-11.453922583893576
Urbino,0,3.669133005797652
Urbisaglia,1,3.3274186174073974
Ussita,1,-63.57236458096735
Vacone,0,-8.887507050769216
Vacri,0,-11.835466684529191
Valentano,0,1.5100558123869794
Valfabbrica,0,-7.198362979434174
Valle Castellana,1,-12.770918185629112
Vallerano,0,-4.630500778291608
Vallo di Nera,1,-15.763268595421165
Valtopina,0,-11.75844238023413
Varco Sabino,0,-29.14486893690615
Vasanello,0,7.91813054175658
Vejano,0,-11.039667342274457
Venarotta,1,-9.720713787710968
Verghereto,0,-6.386602131456493
Vetralla,0,9.529788387640343
Vicoli,0,48.7636332286441
Vignanello,0,-11.355811600461639
Villa Celiera,0,18.861453815552856
Villa San Giovanni in Tuscia,0,10.317213483341234
Villa Sant'Angelo,0,-17.29123195744401
Villa Santa Lucia degli Abruzzi,0,-10.185733695350313
Villamagna,0,-5.678360653431149
Visso,1,-37.99307012129804
Viterbo,0,6.928118030556868
Vitorchiano,0,14.248909823525091
