Comune,Cratere Centro Italia 2016,Variaz
None,0,36.29479356753916
Norcia,1,-18.773250723582997
Notaresco,0,11.517937211800394
Numana,0,-2.0309461896207486
Ocre,0,8.57257848917042
Ofena,0,2.5549798237228223
Offagna,0,6.348539874899339
Offida,1,8.511029889949885
Onano,0,-1.3812483888830471
Orciano di Pesaro,0,3.0140202457815612
Oriolo Romano,0,14.541722572128526
Orsogna,0,16.29879661184865
Orte,0,8.990236539827327
Ortezzano,1,-12.536628428105564
Ortona,0,19.162921346482666
Orvieto,0,3.0421677178073274
Orvinio,0,-27.077481844989798
Osimo,0,6.846679827783681
Ostra,0,1.1667931179055422
Ostra Vetere,0,-4.139282760321696
Otricoli,0,53.15073934967383
Ovindoli,0,6.96849434510579
Paciano,0,-8.769991990807299
Paganico Sabino,0,4.046029018689063
Palmiano,1,-10.842439625413506
Panicale,0,7.78094255875165
Parrano,0,29.35227446516244
Passignano sul Trasimeno,0,5.298254670486673
Pedaso,0,13.000607223785273
Peglio,0,0.14145110864182472
Penna San Giovanni,1,-12.239152045435738
Penna Sant'Andrea,0,16.047264086559355
Penna in Teverina,0,4.715667327300756
Pennabilli,0,-6.2619233836308
Pennapiedimonte,0,-5.4334664958234296
Penne,0,-3.90124269179999
Pergola,0,-2.193329448009631
Perugia,0,4.169640558108376
Pescara,0,3.34638090710511
Pescorocchiano,0,-32.437515877826264
Pescosansonesco,0,-2.1348761178804536
Petrella Salto,0,-11.023437952189372
Petriano,0,-6.001546129857451
Petriolo,1,5.211678464262437
Petritoli,0,18.192034468702662
Piagge,0,-1.2390485012484125
Piandimeleto,0,-0.12409937522086545
Pianella,0,10.313728694401751
Piansano,0,6.711490229051739
Picciano,0,7.665675334314
Piegaro,0,-1.0038184591946409
Pietracamela,0,1.9640382912023227
Pietralunga,0,-0.6590251454563906
Pietranico,0,3.2112753825119196
Pieve Santo Stefano,0,4.435932933982685
Pieve Torina,1,-24.690621291224144
Pievebovigliana,1,-27.731541054904586
Pineto,0,4.559884490371447
Piobbico,0,2.940345960533412
Pioraco,1,0.3019959130844545
Pizzoli,0,2.10648205221677
Poggio Bustone,1,-4.53828311229647
Poggio Catino,0,4.936149502284739
Poggio Mirteto,0,5.23946330466335
Poggio Moiano,0,-17.19917082887731
Poggio Nativo,0,18.820771474471957
Poggio Picenze,0,2.899869385989864
Poggio San Lorenzo,0,-4.025426248640298
Poggio San Marcello,0,-5.168379052576601
Poggio San Vicino,1,-11.775732224781308
Poggiodomo,1,-21.529399080285224
Poggiofiorito,0,4.064891427217941
Polino,1,-2.5833763755568286
Pollenza,1,20.693336548547485
Polverigi,0,16.985821049572856
Ponzano Romano,0,6.830833719904879
Ponzano di Fermo,0,4.080986826210873
Popoli,0,10.612613388159328
Porano,0,11.41137875709749
Porto Recanati,0,-2.7106425612614062
Porto San Giorgio,0,7.19329724072767
Porto Sant'Elpidio,0,7.4274546333044364
Posta,1,13.558457032060007
Potenza Picena,0,4.007247916365335
Pozzaglia Sabina,0,-6.630669303625707
Prata d'Ansidonia,0,4.143493412296808
Preci,1,-9.2695801166009
Pretoro,0,5.781300364261447
Proceno,0,10.765789532098294
Radicofani,0,-20.25077115897061
Rapagnano,0,10.877873215255187
Rapino,0,7.2006745980245395
Recanati,0,3.996737584956446
Rieti,1,9.931551058316384
Rignano Flaminio,0,27.791959804125078
Ripa Teatina,0,1.7929744741529425
Ripatransone,0,1.316673826918269
Ripe San Ginesio,1,6.631758548168731
Rivodutri,1,-7.371933517430857
Rocca Santa Maria,1,-2.5592959905767696
Rocca Sinibalda,0,5.143736289169159
Rocca di Cambio,0,15.678127464645142
Rocca di Mezzo,0,5.48191980982286
Roccacasale,0,-2.155367717369385
Roccafluvione,1,-9.090373490460117
Roccamontepiano,0,5.284455450640229
Roccamorice,0,-3.6878960167972377
Roccantica,0,3.8913911175045413
Ronciglione,0,-8.676667422434306
Rosciano,0,12.983289762485725
Roseto degli Abruzzi,0,18.420187345827564
Rosora,0,9.728291634038424
Rotella,1,26.172153114643876
Salisano,0,0.7468178105527449
Salle,0,0.543780210752301
Saltara,0,-1.151130508870038
San Benedetto del Tronto,0,4.719468977525714
San Benedetto in Perillis,0,-11.893993002298227
San Casciano dei Bagni,0,-0.9725197816981741
San Costanzo,0,-0.6222059030793665
San Demetrio ne' Vestini,0,-0.14828959061233998
San Gemini,0,4.947332962166718
San Ginesio,1,-3.630183356593618
San Giorgio di Pesaro,0,-2.907574795634346
San Giovanni Teatino,0,7.688446873062625
San Giustino,0,19.143609442502818
San Lorenzo Nuovo,0,14.243857880787134
San Lorenzo in Campo,0,2.2495551111085184
San Marcello,0,-5.715833784690497
San Martino sulla Marrucina,0,7.348088065519281
San Paolo di Jesi,0,-9.629491073063335
San Pio delle Camere,0,12.772244682876263
San Severino Marche,1,1.9383169407893137
San Valentino in Abruzzo Citeriore,0,4.94186091921567
San Venanzo,0,-1.3862849462494398
San Vito Chietino,0,13.983003874485785
Sansepolcro,0,4.90987655530384
Sant'Anatolia di Narco,1,-11.043390458847787
Sant'Angelo in Pontano,1,-19.80145766550968
Sant'Angelo in Vado,0,0.4878219298144699
Sant'Egidio alla Vibrata,0,27.277402008548375
Sant'Elpidio a Mare,0,9.866732674692173
Sant'Eusanio Forconese,0,7.985859740927034
Sant'Eusanio del Sangro,0,3.8845490324817273
Sant'Ippolito,0,-6.964943948162499
Sant'Omero,0,21.95310782591477
Sant'Oreste,0,4.355405146760656
Santa Maria Nuova,0,2.258414590485213
Santa Vittoria in Matenano,1,-10.47340102178481
Sante Marie,0,-7.621964562457531
Santo Stefano di Sessanio,0,6.422371836359137
Sarnano,1,-5.281405009946518
Sarteano,0,6.459683621098959
Sassocorvaro,0,-8.118573192706217
Sassoferrato,0,1.8550312732562901
Scafa,0,2.071701411519223
Scandriglia,0,-8.444251902920811
Scheggia e Pascelupo,0,1.9940684062239287
Scheggino,1,-1.8990625134911774
Scoppito,0,4.5456434878401355
Secinaro,0,2.781837859970664
Sefro,1,3.556509068472291
Selci,0,8.350318981395137
Sellano,1,102.1887875216257
Senigallia,0,0.12603077642260727
Serra San Quirico,0,0.29838384766219095
Serra Sant'Abbondio,0,-1.9910238755449117
Serra de' Conti,0,-2.661571387956696
Serramonacesca,0,6.976133759752207
Serrapetrona,1,5.687774370981312
Serravalle di Chienti,1,-0.6986218214860633
Serrungarina,0,2.68422958516608
Servigliano,1,-12.517785986355376
Sestino,0,-6.176191653790758
Sigillo,0,-0.09852671426334589
Silvi,0,8.783924114224781
Sinalunga,0,-5.3952820012957154
Sirolo,0,7.688562414606606
Smerillo,1,-24.86634764639972
Soriano nel Cimino,0,8.613466711020882
Spello,0,-1.1117481201825599
Spinetoli,0,10.290067184897568
Spoleto,1,-6.399982381922481
Spoltore,0,10.907467103737822
Staffolo,0,-0.07478619577147003
Stimigliano,0,1.0442078604886813
Stroncone,0,6.826027708339427
Subbiano,0,6.999149725281637
Sutri,0,2.368577866374427
Tarano,0,-3.5368632834564844
Tarquinia,0,0.7669360158016402
Teramo,1,7.118967995373063
Terni,0,6.017438935746988
Tione degli Abruzzi,0,-1.9671144126282192
Tocco da Casauria,0,-4.128544745122173
Todi,0,3.2082653504507523
Toffia,0,25.880482009706807
Tolentino,1,2.49991266727153
Tolfa,0,12.256288976585644
Tollo,0,10.546435553860304
Torano Nuovo,0,4.5009817789170095
Torgiano,0,2.50395030985108
Tornimparte,0,-4.83534067707369
Torre San Patrizio,0,8.604257341881736
Torre de' Passeri,0,11.28421390774405
Torrevecchia Teatina,0,8.047482947003417
Torri in Sabina,0,10.82118525244348
Torricella Sicura,1,2.661916231828028
Torricella in Sabina,0,4.184407798825529
Torrita Tiberina,0,6.321221031427992
Torrita di Siena,0,-7.520857009604286
Tortoreto,0,17.21809820238733
Tossicia,1,-0.6154179909726112
Trecastelli,0,0.07322824562347803
Treia,1,-5.806379462413388
Trevi,0,-2.3908586679305555
Trevignano Romano,0,22.88529043828953
Tuoro sul Trasimeno,0,-2.736344128440002
Turrivalignani,0,58.87939711328115
Tuscania,0,18.67643359030473
Umbertide,0,1.1132096239170324
Urbania,0,-0.9900822848709233
Urbino,0,4.646287285204984
Urbisaglia,1,1.74260525850682
Ussita,1,-56.173259667523226
Vacone,0,1.4535091098966342
Vacri,0,1.3569058258868343
Valentano,0,28.7757643600571
Valfabbrica,0,2.118178165224397
Valle Castellana,1,-6.7831964410131205
Vallerano,0,5.643565200780312
Vallo di Nera,1,-8.292318797067509
Valtopina,0,-1.9579704701330092
Varco Sabino,0,-8.802058728189294
Vasanello,0,10.619098579947888
Vejano,0,7.172553441016986
Venarotta,1,-3.010624448313833
Verghereto,0,-7.003086310561588
Vetralla,0,11.141527088862253
Vicoli,0,5.023871767004599
Vignanello,0,-0.06567428873149986
Villa Celiera,0,-2.5182232147411687
Villa San Giovanni in Tuscia,0,2.9536814566438965
Villa Sant'Angelo,0,-1.063206121512295
Villa Santa Lucia degli Abruzzi,0,-2.961097329052033
Villamagna,0,4.592221371713723
Visso,1,-32.27038731740722
Viterbo,0,8.84836294132136
Vitorchiano,0,22.026583020855124
