Comune,CRATER,PHONE_BEFORE,PHONE_AFTER,PCGH,MPE,MPE_INIT,MPE_END,DISTANCE FROM EPICENTER,AGRICOLTURE,OTHER SERV,PUBLIC ADMIN,REAL ESTATE,ENTERTAINMENT,HOSPITALITY,FINANCE,MANUFACTURING,TECH SERVICES,WHOLE/RETAIL SALES,CONSTRUCTIONS,MINING,WASTE MGMT,UTILITIES,EDUCATION,BUSINESS SUPPORT SERVICES,EXTRA,HEALTHCARE,COMMUNICATION AND INFORMATION SERV.,LOGISTICS,ABRUZZO,LAZIO,MARCHE,UMBRIA,ALT_MIN,ALT_MEAN,ALT_MED
Montecchio,0.0,2232.056932124952,2120.2715641952987,-0.0500817727006773,-9.177514631377395,3.304354622231493,-13.097073337078582,68.58205422451664,0.7120374585419783,0.0,0.0,0.0,0.0,0.0079339272940105,0.0,0.0,0.0695844442999284,0.0260779085647395,0.1759120764778565,0.0,0.0,0.0,0.0,0.0,0.0,0.0084541848214866,0.0,0.0,0,0,0,1,77,418.2701,415
Montecosaro,0.0,5313.758310836869,6495.550327757685,0.222402290015839,7.236040991984392,2.5115326297679306,8.719631911343646,59.958001444274885,0.0002191588682636,0.0,0.0,0.0089471607968616,0.0,0.0014738433890727,0.0,0.3636941418834513,0.0049694273378772,0.4422297223257139,0.0390267154660413,0.0,0.0300412018672335,0.0013861798417672,0.0,0.0,0.0,0.0078732823423699,0.0051009226588353,0.095038243222512,0,0,1,0,29,102.8083,88
Montedinove,1.0,816.4043289625915,781.4796903254972,-0.0427786054019007,-16.15758342115087,-1.4696760530383504,-20.76988259073021,34.12592421542217,0.1434878587196468,0.0,0.0,0.0073583517292126,0.0,0.0,0.0,0.0,0.0,0.1729212656364974,0.0,0.0,0.0,0.6762325239146432,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,232,372.9452,368
Montefalco,0.0,7085.541043193213,6612.19628164557,-0.0668043214571971,-11.565367617341971,-2.764253536778817,-14.329094957649302,40.11791825539928,0.2958385203627957,0.0,0.0,0.0054686110617108,0.0,0.019918193135337,0.0,0.3076204872843677,0.0058687533345189,0.0854526053707985,0.2763204695002668,0.0,0.0,0.0,0.0,0.0,0.0,0.0035123599502045,0.0,0.0,0,0,0,1,204,293.8075,300
Montefalcone Appennino,1.0,1277.2622927111454,1141.8191907775768,-0.106041729021902,-26.82937139954873,-6.942914548235928,-33.074119961914725,25.373928207891428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2388591800356506,0.0,0.5793226381461676,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,297,539.6002,533
Montefano,0.0,5479.8129193983805,5750.862307866185,0.0494632558546474,-7.253065044979875,-1.0178736242755415,-9.211040915274218,62.24539797527353,0.0614417408754546,0.0,0.0,0.0011444876458045,0.0,0.0,4.70337388686818e-05,0.7486673773987207,0.0,0.0495578828546343,0.0730904302019315,0.0,0.0642167314687068,0.0018343158158785,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,48,134.2146,131
Montefelcino,0.0,2144.37448900887,2768.9354769439424,0.2912555578031262,9.109762112890154,7.097899540288097,9.741527540078604,101.8215608596322,0.0006099296547798,0.0,0.0,0.0167527345179522,0.0,0.0,0.0,0.9420973447729027,0.001016549424633,0.023949904444354,0.0104094661082421,0.0,0.0,0.0,0.0,0.0,0.0,0.0051640710771357,0.0,0.0,0,0,1,0,67,248.7929,247
Montefiascone,0.0,7686.374431160817,8971.95213607595,0.1672541087386217,-3.3440007289536786,-4.902788451144198,-2.8545099433419288,94.33894678457794,0.0971912406924502,0.0,0.0,0.0032988783813503,0.0002042162807502,0.0165415187407709,0.0013509692418863,0.1282164064218166,0.0217568883722391,0.3522416664048509,0.1070564579471551,0.0,0.0,0.0005183951742121,0.0121430142323038,0.0002199252254233,0.0,0.0767853215620974,0.0131169688020358,0.1693581325206572,0,1,0,0,220,399.7481,399
Montefino,0.0,1061.3315271885847,1099.0138223327306,0.0355047354938795,9.622507841080507,9.142123037930247,9.773358358660571,55.25033549568472,0.0,0.0,0.0,0.0,0.0,0.001238773614122,0.0,0.4805202849179312,0.0,0.0060080520284917,0.5122328894394549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,124,272.3761,267
Montefiore dell'Aso,0.0,3391.1928557655224,3529.38085443038,0.0407490828573543,0.5360638134612562,-8.099776487981817,3.2478918535426544,49.98422000265543,0.0016837475409554,0.0,0.0,0.0031570266392914,0.0,0.0002620117346894,0.0,0.7837801850404186,2.1476371695860213e-05,0.004144939737301,0.0006142242305016,0.0,0.0,0.0,0.0,0.1934763373336655,0.0,0.0019801214703583,0.0,0.0108799299011227,0,0,1,0,40,180.2767,172
Montefortino,1.0,2962.515050134979,2928.1560691681734,-0.011597909338972,-19.804396285832045,-5.048369940452306,-24.4380861882372,11.977453029201538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3469930814262906,0.0,0.0,0.6530069185737094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,444,1024.971,807
Montefranco,1.0,877.9277477824913,1019.2819733273056,0.1610089507956128,-2.913046735708268,-6.655971396643932,-1.7376928971546204,36.47255820112888,0.0646347871781397,0.0,0.0,0.000525486074619,0.0,0.0819758276405675,0.0,0.7950604308985811,0.0,0.0578034682080924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,224,388.6658,392
